ngram,freq
table show,4
deep learn,4
name select,4
deep learning method,4
default setting,4
multiple time,4
multiple attribute,4
group plc subsidiary,4
select use,4
design process,4
morlet wavelet,4
select well,4
diagnosis datum,4
trend display,4
diagnosis rolling,4
grayscale image,4
transform datum,4
different time,4
datum know,4
unit gru,4
hold shift,4
one two,4
rule thumb,4
page create,4
use gabor,4
contain one,4
page add,4
control system,4
convolutional neuralnetwork,4
original variable,4
original datum,4
use fault,4
tab click,4
option page,4
create one,4
currently select,4
small batch,4
one row,4
number parameter,4
use convolutional network,4
one one,4
see asset,4
section datum,4
data point,4
database collection,4
specific time,3
learn algorithm,3
layer front,3
large scale,3
last least,3
sophisticated technique,3
learning technique,3
introduce new,3
statistical analysis,3
learn pattern,3
simple way,3
singular value,3
introduction build,3
learn rate,3
state parameter,3
smith randall,3
learn method,3
singular value decomposition,3
similar one,3
life cycle datum,3
knowledge feature,3
neural network cnn,3
look something,3
review application,3
play important,3
platform use,3
pixel image,3
right reserve,3
performance model,3
per second,3
roll element bearing,3
pattern base,3
parameter train,3
parameter cnn,3
param eter,3
paper organize follow,3
paper organize,3
pane click,3
row column,3
page right click,3
page page,3
page introduction,3
row display,3
row show,3
run failure,3
sample rate,3
sample size,3
play important role,3
result use,3
organize follow,3
point estimate,3
relationship exist,3
reduce number,3
reduce feature,3
record value,3
recent year,3
real industrial,3
represent single,3
range use,3
random forest,3
provide valuable,3
production datum,3
processing method,3
process feature,3
process characteristic,3
procedure call,3
principal component analysis,3
present section,3
predictive maintenance,3
prediction use,3
pre process,3
practical application,3
result obtain,3
point use,3
scale select,3
order statistic,3
machine learn,3
select right,3
select three,3
multiple layer,3
select time,3
selection feature,3
model well,3
model time,3
model measure,3
model another,3
mode use,3
set create,3
minimum value,3
set match,3
method introduce,3
method combine,3
set permission,3
set read,3
message display,3
memory lstm,3
set value,3
mean variance,3
show asset,3
matrix two,3
many different,3
name element,3
select page,3
option use,3
need consider,3
option select,3
option click,3
operation parameter,3
open select,3
one way,3
one time,3
one item,3
section introduce,3
section outline,3
section use,3
obtain use,3
obtain datum,3
number sample,3
non linear,3
next step,3
new value,3
new set,3
new one,3
input vector,3
network use,3
select file,3
network construct,3
need find,3
intelligent manufacturing,3
able edit,3
data collection,3
datum set datum,3
value represent,3
copy paste,3
total downtime,3
use feature,3
datum right,3
calculation basis,3
value could,3
even impossible,3
data analysis,3
use full,3
change attribute,3
type set,3
content datum,3
train deep,3
train large,3
change click,3
change context,3
element copy,3
element click,3
train model use,3
train test,3
training datum test,3
value right,3
datum real,3
timestamp value,3
value set,3
datum mining,3
use label,3
view also,3
feature different,3
vibration signal use,3
time frame,3
extreme learning,3
extraction fault,3
vibration image,3
datum often,3
datum pca,3
extraction base,3
base fault detection,3
base pca,3
expert knowledge,3
datum processing,3
datum quantity,3
bear vibration,3
value trend,3
time value,3
become increasingly,3
use within,3
use wavelet,3
time data,3
describe available,3
diagnosis rolling element,3
use represent,3
use reduce,3
column click,3
column list,3
column represent,3
two different,3
two dimensional,3
two direction,3
use previous,3
two domain,3
contain two,3
type dataset,3
use non,3
use multiple,3
use monitor,3
define datum,3
configuration change,3
compare multiple,3
component analysis,3
comprehensive review,3
deep learning framework,3
configuration option,3
difference two,3
cnn two,3
use identify,3
divide datum,3
display together,3
contain multiple,3
display table,3
click add,3
display result,3
click copy,3
display data,3
construct use,3
construct feature,3
training time,3
use time frequency,3
directly use,3
directly image,3
datum therefore,3
use study,3
close look,3
datum three,3
different item,3
different condition,3
use single,3
feature extraction fault,3
datum multiple source,3
view attribute,3
high dimensional,3
however would,3
use composition,3
system engineering,3
table describe,3
use collect,3
algorithm develop,3
high quality datum,3
high quality,3
use different,3
algorithm work,3
table row,3
use describe,3
table table,3
help reader,3
also consider,3
table use,3
also delete,3
well use,3
also need,3
well define,3
guo chen,3
well datum,3
system ability,3
symbol value,3
target datum,3
would also,3
data generation,3
use current,3
cycle datum,3
ing condition,3
data set use,3
still open,3
accuracy model,3
still use,3
structure attribute,3
achieve excellent,3
include well,3
image apply,3
data structure,3
database page,3
currently work,3
important role,3
image pixel,3
image generate,3
image fusion,3
add trend,3
use continuous,3
dataset use,3
correlation matrix,3
datum come,3
frequency image analysis,3
future research,3
frequency response,3
assume default,3
attribute change,3
term memory lstm,3
following page,3
attribute point,3
could use,3
follow approach,3
attribute trend,3
could also,3
first stage,3
attribute use,3
author declare,3
datum industrial,3
datum information,3
available option,3
feature time,3
feature representation,3
correspond eigenvector,3
datum marker,3
datum method,3
use experimental,3
use link,3
generate image,3
visual representation,3
asset type,3
asset framework,3
generate new,3
approach use,3
create click,3
datum enable,3
analysis pca,3
datum create,3
asset select,3
create use,3
use example,3
technique vary,3
use follow,2
use image,2
search create,2
use improve,2
use exist,2
sample time,2
search search,2
scheme use,2
use find,2
use default,2
search return,2
save time,2
scale large number,2
scale large,2
use eliminate,2
use extract,2
search display,2
use effectively,2
step need,2
row correspond,2
require use,2
weight average,2
way identify,2
way address,2
want know,2
require label,2
want edit,2
reserve aveva,2
well change,2
reserve aveva aveva,2
respective company,2
respective company aveva,2
vision trend,2
rest paper,2
rest paper organize,2
representation wavelet,2
widely use train,2
view timestamp,2
within time,2
zhao deep,2
would possible,2
relationship image,2
would need,2
world around,2
work would,2
repeat process,2
represent one,2
within team,2
within cloud,2
represent average,2
window return,2
represent different,2
window note,2
restrict boltzmann,2
view page,2
use microsoft,2
use traditional,2
right reserve aveva,2
user make,2
road cambridge,2
road cambridge tel,2
use unsupervised,2
use two,2
use time series,2
usually contain,2
use template,2
use statistic,2
use rolling,2
use representation,2
use obtain,2
row change,2
user view,2
value data,2
restrict boltzmann machine,2
result look like,2
view event,2
view datum,2
view also useful,2
result also,2
vector algorithm,2
various factor,2
result many,2
value drop,2
value update,2
value run,2
value product,2
return event,2
revert back,2
value however,2
usually use,2
unique identifier,2
section contain,2
similar feature,2
show value data,2
show well,2
sigmoid function,2
signal component,2
signal example,2
time consume expensive,2
three method,2
three layer,2
three different,2
text value,2
signal feature,2
test use,2
test figure,2
term memory neural,2
signal feed,2
term data,2
signal therefore,2
temporal datum,2
template provide,2
time different,2
show result,2
time example,2
time train,2
set training test,2
trademark aveva,2
tion use,2
tion application,2
setting button,2
setting note,2
shen hierarchical,2
shen hierarchical adaptive,2
time step,2
time field,2
time series analysis,2
time second,2
time prediction,2
time performance,2
time parameter,2
show last,2
show one,2
show original,2
signal wang,2
template context,2
use correct,2
temperature set,2
table one,2
smith randall roll,2
syntax semantic,2
solve problem,2
somewhere else,2
symbol symbol,2
subsidiary united kingdom,2
speed training,2
stack convolutional,2
subsidiary united,2
subsidiary right reserve,2
subsidiary right,2
study use,2
study case,2
state datum,2
state use,2
step show,2
step require,2
statistical analysis method,2
table page,2
slavkovikj vervisch,2
table provide,2
task objective,2
temperature measurement,2
tel fax,2
similar human,2
simply add,2
since take,2
since time,2
single element,2
technique employ,2
task datum,2
size make,2
single variable,2
take online please,2
take online,2
take one,2
take close look,2
take close,2
size dataset,2
take advantage,2
trademark aveva group,2
trademark register,2
set training,2
trademark register trademark,2
unit gpu,2
select edit,2
step click,2
select find,2
understand work,2
understand feature,2
type work,2
type specify,2
type request,2
type property,2
select item display,2
select line,2
select link,2
type object,2
select next,2
select one,2
two value,2
select replace,2
two time,2
select different item,2
select different,2
select convert,2
update table,2
section provide,2
section summary,2
use control,2
use context,2
see create,2
use case western,2
see two,2
see value,2
select apply,2
unit measure uom,2
select appropriate,2
update reset,2
update frequency,2
uom value,2
united kingdom country,2
united kingdom,2
unit relu,2
unit network,2
two step,2
select row,2
two option,2
set event,2
training test datum,2
training set close,2
set choose,2
set close,2
training neural network,2
training neural,2
training method,2
set data,2
set example,2
transfer also,2
set need,2
set often,2
traditional neural network,2
traditional neural,2
set open,2
trademark respective company,2
trademark respective,2
set train,2
series analysis,2
transfer learning method,2
select search,2
true value,2
select table,2
two method,2
two layer,2
two hour,2
two field,2
two feature,2
two distribution,2
ture extraction,2
selection good,2
transform stft,2
trend time,2
transformation datum,2
transform wavelet transform,2
selection start,2
transform wavelet,2
sensor complexity,2
transform use,2
sensor datum type,2
therefore limit,2
method adopt,2
register trademark aveva,2
deep learning algorithm,2
descent mbgd,2
descent bgd,2
delete page,2
degrade time,2
deep model,2
deep learning nature,2
decision tree,2
description change,2
decision make,2
datum within,2
datum usually,2
datum usage,2
datum update,2
datum train model,2
descent sgd,2
design model,2
data marker,2
different approach,2
directly apply,2
direct strategy,2
different scale,2
different observation,2
different method,2
different location,2
diagnosis use time,2
detail right,2
diagnosis review,2
diagnosis methodology,2
diagnosis label,2
detection use,2
detection rotate machinery,2
detection rotate,2
datum summary,2
datum standard,2
datum split,2
datum cleaning,2
datum extract,2
datum external,2
datum every,2
datum describe,2
datum completeness,2
datum common,2
datum although,2
datum source datum,2
date column,2
dataset name,2
database share,2
database datum,2
database click,2
data size,2
datum generation,2
datum governance,2
datum handling,2
datum hardware,2
datum help,2
datum identify,2
datum image,2
datum improve,2
datum instance,2
datum labelling,2
datum much,2
datum relational,2
datum science,2
datum section,2
datum sensor,2
datum set choose,2
datum since,2
discuss next,2
discuss next section,2
display additional,2
extraction selection,2
fault diagnosis review,2
fault diagnosis methodology,2
fault detection rotate,2
fast convergence,2
failure task,2
extraction technique,2
explorer use,2
example mathematical,2
explorer click,2
experimental result,2
excellent result,2
example well,2
example system,2
example number,2
feature base,2
feature datum,2
feature dimension,2
feature element,2
feature extraction base,2
feature learning therefore,2
feature original,2
feature use,2
feature vibration,2
figure model,2
final exam course,2
final exam final,2
final exam page,2
find table,2
first change,2
fix next,2
follow feature,2
example method,2
example last,2
display also,2
easy understand,2
element verify,2
element part,2
efficient way,2
effectively reduce,2
effective method,2
easy use,2
due various factor,2
example fault,2
due various,2
dropdown list,2
domain knowledge,2
domain expert,2
display datum,2
display content,2
enable fault,2
enable fault diagnosis,2
ensure consistency,2
especially important,2
etc base,2
even datum,2
even though,2
exam course,2
exam course take,2
exam final,2
exam final exam,2
exam page,2
exam page introduction,2
example consider,2
example date,2
example date column,2
example every,2
data similarity,2
data datum,2
follow normal,2
automatic feature,2
aveva logo,2
aveva aveva logo,2
aveva aveva,2
avci kiranyaz,2
automatically learn,2
automatic feature extraction,2
attribute belong,2
aveva product,2
asset work,2
asset often,2
area use,2
area configuration,2
approach rely,2
approach develop,2
aveva logo aveva,2
aveva product name,2
current work,2
basic page,2
beyond scope,2
bengio hinton deep,2
bengio hinton,2
benefit data,2
benchmark study,2
bear vibration signal,2
base sensor,2
babu zhao,2
base element,2
base deep neural,2
ball fault,2
ball bearing,2
back propagation,2
babu zhao deep,2
approach achieve,2
apply page,2
application addition,2
acquisition system,2
addition original,2
add label,2
add extra,2
add column,2
adam method stochastic,2
adam method,2
acquisition process,2
another type,2
achieve fast,2
achieve certain,2
accuracy compare,2
accord application,2
access user,2
access use,2
adjust weight,2
administrator task,2
algorithm obtain,2
algorithm two,2
already use,2
also create,2
also embed,2
also maintain,2
also require,2
also set,2
also show,2
among different,2
anal ysis,2
analysis addition,2
analysis also,2
analysis compute,2
another popular,2
boltzmann machine,2
brand product,2
brand product name,2
computational complexity,2
connect local,2
configuration panel,2
conference datum,2
condition therefore,2
condition monitoring fault,2
computer science,2
component analysis pca,2
column show,2
complete within,2
company aveva group,2
company aveva,2
common feature,2
come different,2
combination column,2
consider use,2
consume expensive,2
content introduction,2
context datum,2
context display,2
context time,2
country brand,2
country brand product,2
course list,2
course list online,2
course take,2
course take online,2
criterion filter,2
cross madingley,2
cross madingley road,2
crucial define,2
current value,2
column table,2
column attribute,2
build model use,2
capture event,2
chart use,2
chart show,2
chart display,2
certain distance,2
case study case,2
carefully design,2
capability model,2
collection type,2
cambridge tel fax,2
cambridge tel,2
call number,2
calculation result,2
calculation create,2
button copy,2
check course,2
check course list,2
chen shen hierarchical,2
choose two,2
click apply page,2
click change,2
click create,2
click data,2
click first,2
click name,2
click open,2
click row,2
click search,2
cloud platform,2
cluster machine,2
cnn cnn,2
collect prepare,2
follow goal,2
follow step,2
register trademark,2
new type,2
number feature,2
number example,2
number element,2
number case,2
note start,2
normal one,2
new parent,2
numerical algorithm,2
neural network shock,2
neural network also,2
network shock,2
network learning,2
network however,2
network data,2
number time,2
obtain accurate,2
method term,2
one page,2
operator use,2
open vision,2
online please check,2
online please,2
online detail,2
one variable,2
one model,2
obtain feature,2
one hand,2
one derive,2
one datum,2
one could,2
one convolutional layer,2
one convolutional,2
network combine,2
need understand,2
need manually,2
model include,2
model usually,2
model time series,2
model technique,2
model requirement,2
model prediction,2
model may,2
model however,2
need make configuration,2
model could,2
model construct,2
model apply,2
model also,2
mode see,2
mini batch gradient,2
model without,2
modeling method,2
monitoring fault,2
much possible,2
multi mode,2
multi stage,2
multidimensional datum,2
must make,2
name change,2
name click,2
name page,2
name temperature,2
name trademark register,2
name trademark respective,2
natural language,2
natural language processing,2
need display,2
optimal design,2
optimization strategy,2
original training,2
prediction algorithm,2
process input datum,2
process input,2
problem one,2
prior knowledge,2
previous value,2
present display,2
predefine set,2
please check,2
powerful feature element,2
powerful feature,2
possible without,2
possible use,2
possible capture,2
plot allow,2
process large,2
process obtain,2
processing technique,2
processing unit gpu,2
property select,2
randall roll,2
randall roll element,2
range range,2
rate fault,2
raw datum use,2
read permission,2
real scenario,2
reason use,2
recurrent neural,2
recurrent neural network,2
reduce data,2
ref erence,2
please check course,2
plc subsidiary united,2
oscillate even,2
page drag,2
pane attribute,2
page time,2
page set,2
page repeat,2
page hide,2
page drag drop,2
page configuration,2
plc subsidiary right,2
page approach,2
page also,2
overview gradient descent,2
overview gradient,2
overview datum,2
outside scope,2
pane element,2
pane right,2
parameter speed,2
part training,2
paste ctrl,2
pca dimensionality,2
pca dimensionality reduction,2
pca method,2
perform well,2
performance analysis,2
performance common,2
performance prediction,2
performance thus,2
permission parent,2
phase use,2
plc high,2
plc high cross,2
method time,2
method stochastic,2
form new,2
image data,2
include image,2
include datum set,2
improved performance,2
image use train,2
image representation raw,2
image recognition,2
image additionally,2
industrial application,2
identity click add,2
identity click,2
identity access,2
however usually,2
however still,2
however large,2
include number,2
information available,2
method propose,2
interest author,2
item select,2
item click,2
issue data,2
intuitive way,2
introduce another,2
interest author declare,2
input variable,2
information datum,2
input map,2
input deep,2
inner outer,2
information would,2
information show,2
information property,2
however even,2
hour time,2
hinton deep learning,2
gaussian process,2
gradient descent mbgd,2
gradient descent bgd,2
give value,2
generate image representation,2
generate datum real,2
general idea,2
gaussian distribution,2
hinton deep,2
gao huang,2
functionality work,2
function well,2
function due,2
fouri transform stft,2
format model,2
grant read,2
grant read access,2
graphic processing,2
graphic processing unit,2
group plc high,2
group select,2
guo chen shen,2
guo gao,2
header data,2
health assessment,2
health datum,2
hierarchical adaptive,2
hierarchical adaptive deep,2
high accuracy,2
high cross,2
high cross madingley,2
high low,2
janssens slavkovikj,2
janssens slavkovikj vervisch,2
key benefit,2
many variant,2
may make,2
may different,2
maximum return,2
massive datum,2
mark show,2
mapping datum,2
make sense,2
low cost,2
make copy,2
make configuration change,2
make configuration,2
maintain performance,2
main idea,2
madingley road cambridge,2
may need,2
may notice,2
mean absolute,2
mean standard,2
mean standard deviation,2
measure uom,2
measurement result,2
measurement use,2
measurement zhang,2
mechanical fault diagnosis,2
memory neural,2
message attribute,2
access right,2
method allow,2
method another,2
method extract,2
method extract feature,2
madingley road,2
logo aveva product,2
kingdom country,2
language use,2
learning datum,2
learn use,2
layout datum,2
layer set,2
last two,2
large size,2
language processing,2
logo aveva,2
label use,2
label instance,2
know information,2
kingma adam method,2
kingma adam,2
kingdom country brand,2
learning enable fault,2
learning may,2
learning nature,2
learning therefore,2
learning work,2
least one,2
least square,2
lecun bengio,2
lecun bengio hinton,2
less useful,2
level database,2
level performance,2
link one,2
link select,2
list online,2
list online detail,2
load high,2
zhao deep convolutional,2
