ngram,freq
method time,1
method use,1
might want,1
mini batch,1
mini batch gradient,1
model also,1
model another,1
model apply,1
model construct,1
model could,1
model however,1
model include,1
model may,1
model parameter,1
model performance,1
last least,1
large size,1
large scale,1
generate datum real,1
fouri transform stft,1
frequency analysis,1
frequency image,1
frequency image analysis,1
function due,1
function well,1
gaussian kernel,1
generate image,1
large one,1
generate image representation,1
generate new,1
gradient descent bgd,1
gradient descent mbgd,1
gru network,1
guo chen shen,1
guo gao,1
format model,1
follow step,1
feature vibration,1
feature use,1
example mathematical,1
example method,1
excellent result,1
experimental result,1
extraction base,1
extraction selection,1
failure task,1
fast convergence,1
fault detection rotate,1
fault diagnosis methodology,1
fault diagnosis review,1
feature base,1
feature dimension,1
feature input,1
feature learning therefore,1
health assessment,1
health datum,1
hierarchical adaptive,1
include datum,1
industrial application,1
information property,1
inner outer,1
input deep,1
intelligent manufacturing,1
interest author,1
interest author declare,1
issue data,1
janssens slavkovikj,1
janssens slavkovikj vervisch,1
kingma adam,1
kingma adam method,1
knowledge feature,1
label instance,1
large amount,1
include image,1
improved performance,1
hierarchical adaptive deep,1
important role,1
high accuracy,1
high low,1
hinton deep,1
hinton deep learning,1
however large,1
however usually,1
hyper parameter,1
image analysis,1
image apply,1
image base,1
image data,1
image feature extraction,1
image recognition,1
image representation raw,1
image use train,1
zhao deep convolutional,1
