ngram,freq
select apply,1
previous value,1
perform well,1
section introduce,1
select add,1
select one,1
see two,1
process characteristic,1
per second,1
reduce data,1
search return,1
result datum,1
require use,1
require label,1
represent single,1
possible use,1
performance prediction,1
possible capture,1
represent one,1
represent different,1
represent average,1
repeat process,1
point use,1
phase use,1
relational database,1
plot allow,1
ref erence,1
recent year,1
recurrent neural,1
recurrent neural network,1
reduce number,1
range range,1
result many,1
scheme use,1
result obtain,1
scale large number,1
process input datum,1
process large,1
process obtain,1
scale large,1
processing method,1
performance degradation,1
save time,1
processing technique,1
prediction algorithm,1
sample time,1
sample size,1
predefine set,1
rule thumb,1
row correspond,1
processing unit gpu,1
production datum,1
revert back,1
result use,1
prediction model,1
access right,1
selection start,1
use control,1
unique identifier,1
unit gpu,1
update frequency,1
use collect,1
use composition,1
use context,1
use continuous,1
use correct,1
use link,1
use current,1
use describe,1
use effectively,1
use eliminate,1
use follow,1
use hierarchical,1
use identify,1
understand feature,1
type specify,1
type property,1
type object,1
training set close,1
transfer learning method,1
trend time,1
true value,1
two different,1
two distribution,1
two domain,1
two feature,1
two field,1
two hour,1
two option,1
two time,1
two value,1
type column,1
type dataset,1
use improve,1
use multi,1
training datum test,1
want know,1
value time,1
various factor,1
vector algorithm,1
view also useful,1
view datum,1
view time,1
view time series,1
way address,1
use multiple,1
way identify,1
well change,1
widely use,1
widely use train,1
within cloud,1
working condition,1
world around,1
value set,1
value right,1
value product,1
value however,1
use non,1
use previous,1
use reduce,1
use representation,1
use statistic,1
use tag,1
use template,1
use time series,1
use unsupervised,1
user make,1
user view,1
usually use,1
value could,1
value decomposition,1
value drop,1
training method,1
train test,1
sensor complexity,1
solve problem,1
simple way,1
simply add,1
single element,1
single period,1
single variable,1
singular value,1
singular value decomposition,1
somewhere else,1
syntax semantic,1
specific time,1
state datum,1
state use,1
statistical analysis method,1
step need,1
still need,1
structure attribute,1
similar one,1
similar human,1
show result,1
show one,1
series analysis,1
series datum,1
set choose,1
set close,1
set create,1
set example,1
set need,1
set often,1
set open,1
set train,1
set training,1
set training test,1
short term,1
short time,1
show last,1
study case,1
system ability,1
train large,1
time second,1
time consume expensive,1
time different,1
time example,1
time field,1
time frame,1
time parameter,1
time prediction,1
time series analysis,1
system engineering,1
time series datum,1
time train,1
time value,1
tion application,1
tion use,1
total downtime,1
train deep,1
three different,1
test use,1
test figure,1
test datum,1
table describe,1
table show,1
take advantage,1
take close,1
take close look,1
target datum,1
task datum,1
task objective,1
technique employ,1
pca dimensionality reduction,1
technique vary,1
temperature measurement,1
template provide,1
temporal datum,1
term data,1
pca method,1
model apply,1
pca dimensionality,1
datum therefore,1
datum labelling,1
datum marker,1
datum much,1
datum multiple source,1
datum often,1
datum pca,1
datum real,1
datum reference,1
datum relational,1
datum science,1
datum sensor,1
datum set choose,1
datum since,1
datum source datum,1
datum split,1
datum standard,1
datum summary,1
datum instance,1
datum improve,1
datum image,1
datum enable,1
date column,1
datum acquisition,1
datum although,1
datum cleaning,1
datum common,1
datum completeness,1
datum describe,1
datum every,1
datum identify,1
datum external,1
datum extract,1
datum generation,1
datum governance,1
datum handling,1
datum hardware,1
datum help,1
datum test datum,1
datum three,1
database collection,1
datum train model,1
different observation,1
direct strategy,1
discuss next,1
discuss next section,1
domain expert,1
domain knowledge,1
due various,1
due various factor,1
easy understand,1
easy use,1
effective method,1
efficient way,1
element attribute,1
element element,1
element part,1
element set,1
etc base,1
different method,1
different condition,1
different approach,1
degrade time,1
datum usage,1
datum usually,1
decision make,1
decision tree,1
deep learning,1
deep model,1
define datum,1
descent bgd,1
difference two,1
descent mbgd,1
descent sgd,1
describe available,1
design model,1
design process,1
diagnosis datum,1
diagnosis label,1
database datum,1
data size,1
part training,1
base pca,1
among different,1
anal ysis,1
analysis also,1
analysis compute,1
analysis method,1
analysis pca,1
another popular,1
application addition,1
approach achieve,1
approach develop,1
approach rely,1
asset model,1
asset often,1
assume default,1
attribute belong,1
auto encoder,1
average value,1
also set,1
also require,1
also need,1
add label,1
accord application,1
achieve certain,1
achieve excellent,1
achieve fast,1
acquisition process,1
add datum,1
add extra,1
address issue,1
also embed,1
adjust weight,1
algorithm develop,1
algorithm obtain,1
allow user,1
also allow,1
also create,1
also delete,1
base feature,1
base sensor,1
data similarity,1
benefit data,1
complete within,1
component analysis pca,1
computational complexity,1
condition use,1
connect local,1
consider use,1
consume expensive,1
contain one,1
context datum,1
control system,1
correlation matrix,1
create new,1
crucial define,1
current value,1
data datum,1
data drive,1
data marker,1
compare multiple,1
common feature,1
combination column,1
case use,1
beyond scope,1
build model use,1
call number,1
capability model,1
capture event,1
carefully design,1
case study case,1
change attribute,1
column represent,1
change context,1
chart use,1
choose two,1
cloud platform,1
cluster machine,1
collect prepare,1
collection type,1
even datum,1
even though,1
example consider,1
must make,1
minimum value,1
model also,1
access use,1
model could,1
model however,1
model include,1
model may,1
model measure,1
model prediction,1
model serial,1
model serial number,1
model technique,1
model time series,1
model usually,1
model without,1
much possible,1
multi stage,1
mini batch gradient,1
might want,1
might need,1
maximum return,1
make sense,1
many different,1
many variant,1
mapping datum,1
mark show,1
massive datum,1
matrix two,1
may different,1
method allow,1
may make,1
may need,1
mean standard,1
mean standard deviation,1
measurement result,1
mechanical equipment,1
method adopt,1
multidimensional datum,1
natural language,1
example date,1
natural language processing,1
one derive,1
one hand,1
one model,1
one page,1
one variable,1
one way,1
operator use,1
optimal design,1
optimization strategy,1
order statistic,1
original training,1
original variable,1
outside scope,1
overview datum,1
overview gradient,1
overview gradient descent,1
parameter train,1
one datum,1
one could,1
obtain use,1
new value,1
need consider,1
need make,1
need manually,1
need understand,1
network model,1
neural network base,1
new one,1
next step,1
obtain datum,1
non linear,1
non stationary,1
normal one,1
number element,1
number example,1
numerical algorithm,1
obtain accurate,1
maintain performance,1
low frequency,1
low cost,1
loss function,1
follow normal,1
follow step,1
form new,1
format model,1
gaussian distribution,1
gaussian process,1
general idea,1
generate datum real,1
give value,1
gradient descent bgd,1
gradient descent mbgd,1
graphic processing,1
graphic processing unit,1
health datum,1
help reader,1
high accuracy,1
high quality,1
follow goal,1
fix next,1
figure model,1
example system,1
example date column,1
example every,1
example fault,1
example mathematical,1
example method,1
example number,1
example set,1
example well,1
feature map,1
excellent result,1
failure task,1
fast convergence,1
feature datum,1
feature different,1
feature dimension,1
feature extraction,1
high quality datum,1
high speed,1
hour time,1
learning base,1
key benefit,1
know information,1
label sample,1
label use,1
language processing,1
large size,1
last least,1
learning may,1
intuitive way,1
learning method,1
learning use,1
least one,1
less useful,1
link one,1
long short,1
long short term,1
issue data,1
introduce new,1
however large,1
include image,1
however still,1
however usually,1
image data,1
image datum,1
image processing,1
improved performance,1
include datum set,1
include number,1
introduce another,1
information available,1
information datum,1
information property,1
information show,1
information would,1
input map,1
input variable,1
would possible,1
