ngram,freq
paper organize follow,1
network remain,1
relationship image,1
network cnn,1
paper organize,1
organize follow,1
parameter train,1
one way,1
one could,1
point estimate,1
one convolutional layer,1
one convolutional,1
predefine set,1
numerical algorithm,1
number parameter,1
number feature,1
present section,1
principal component,1
prior knowledge,1
processing unit,1
neural network shock,1
neural network cnn,1
processing unit gpu,1
neural network base,1
network shock,1
param eter,1
network learning,1
randall roll,1
randall roll element,1
rate fault,1
raw datum use,1
accuracy compare,1
signal example,1
result show,1
ture extraction,1
use cnn,1
use case western,1
use case,1
unit relu,1
unit gpu,1
two type,1
two step,1
two layer,1
transform wavelet transform,1
review application,1
transform wavelet,1
transform use,1
transform stft,1
transfer learning,1
training test datum,1
time train,1
time step,1
time series analysis,1
use convolutional,1
use convolutional network,1
use extract,1
use fault,1
zhao deep,1
worth note,1
within time,1
weight bias,1
visual representation,1
vibration signal use,1
vibration image,1
vibration datum,1
use wavelet,1
use train,1
use traditional,1
use time frequency,1
use time,1
use rolling,1
use model,1
use input,1
use generate,1
time series,1
time second,1
time frequency domain,1
signal therefore,1
signal feature,1
model technique,1
signal component,1
show table,1
shen hierarchical adaptive,1
shen hierarchical,1
set use,1
set datum,1
set choose,1
series analysis,1
selection model,1
section provide,1
section outline,1
run failure,1
rolling bear fault,1
rolling bear,1
roll element bearing,1
signal feed,1
signal time,1
three method,1
signal use,1
therefore limit,1
test datum,1
technique use,1
technique include,1
technique employ,1
table provide,1
table one,1
system use,1
study case,1
standard deviation,1
stack convolutional,1
sophisticated technique,1
smith randall roll,1
slavkovikj vervisch,1
size make,1
similar feature,1
signal wang,1
modeling method,1
learn algorithm,1
mode decomposition,1
datum use,1
degrade time,1
deep learning nature,1
deep learning method,1
deep learning base,1
deep learning algorithm,1
deep cnn,1
deep belief network,1
deep belief,1
decision tree,1
datum time,1
datum although,1
datum therefore,1
datum split,1
datum set datum,1
datum set choose,1
datum section,1
datum often,1
datum much,1
datum mining,1
datum information,1
detection rotate,1
detection rotate machinery,1
detection use,1
develop deep,1
expert knowledge,1
experimental datum,1
even though,1
enable fault diagnosis,1
enable fault,1
empirical mode decomposition,1
empirical mode,1
effectively reduce,1
domain expert,1
divide datum,1
different location,1
diagnostic model,1
diagnosis use time,1
diagnosis use,1
diagnosis rolling element,1
diagnosis rolling,1
diagnosis review,1
diagnosis methodology,1
diagnosis base,1
datum include,1
data set use,1
method use,1
automatic feature extraction,1
bear fault diagnosis,1
base fault detection,1
base fault,1
ball fault,1
ball bearing,1
babu zhao deep,1
babu zhao,1
avci kiranyaz,1
automatically learn,1
automatic feature,1
data point,1
author declare,1
asset often,1
approach rely,1
approach achieve,1
amount datum,1
address problem,1
adam method stochastic,1
adam method,1
activation function,1
bear vibration,1
bear vibration signal,1
benchmark study,1
bengio hinton,1
convolutional neuralnetwork,1
convolutional network,1
convolution neural network,1
convolution neural,1
construct feature,1
conference datum,1
condition therefore,1
condition monitoring fault,1
computer science,1
comprehensive review,1
complete within,1
cnn learn,1
cnn cnn,1
chen shen hierarchical,1
chen shen,1
case study case,1
boltzmann machine,1
beyond scope,1
bengio hinton deep,1
extraction base,1
extraction fault,1
extraction method,1
interest author,1
learn method,1
learn feature,1
accuracy model,1
last two,1
kingma adam method,1
kingma adam,1
janssens slavkovikj vervisch,1
janssens slavkovikj,1
interest author declare,1
input vector,1
extraction selection,1
input map,1
input deep,1
inner outer,1
ing condition,1
include datum set,1
include datum,1
image use,1
image representation raw,1
image pixel,1
learn pattern,1
learn rate,1
learning algorithm,1
learning base,1
method stochastic,1
mechanical fault diagnosis,1
mechanical fault,1
mean standard deviation,1
mean standard,1
may different,1
mapping datum,1
machine condition,1
low frequency,1
linear unit,1
level performance,1
lecun bengio hinton,1
lecun bengio,1
learning therefore,1
learning rate,1
learning nature,1
learning method,1
learning enable fault,1
learning datum,1
image fusion,1
image additionally,1
ieee transaction,1
fouri transform stft,1
first stage,1
find table,1
feature vibration,1
feature representation,1
feature original,1
feature learning therefore,1
feature input,1
feature extraction method,1
feature extraction fault,1
feature extraction base,1
feature datum,1
fault severity,1
fault diagnosis use,1
fault diagnosis review,1
fault diagnosis methodology,1
fault diagnosis base,1
fault detection rotate,1
extreme learning,1
extraction technique,1
follow feature,1
frequency domain,1
however still,1
frequency khz,1
hinton deep learning,1
hinton deep,1
high low,1
high level,1
high dimensional,1
hierarchical adaptive deep,1
hierarchical adaptive,1
health assessment,1
guo gao,1
guo chen shen,1
guo chen,1
graphic processing unit,1
graphic processing,1
generate image representation,1
generate image,1
generate datum,1
gear fault,1
gao huang,1
function due,1
zhao deep convolutional,1
